flow_cfs,floodplain_acres,watershed,species
10,0,Bear River,Fall Run
160,0,Bear River,Fall Run
310,0,Bear River,Fall Run
460,0,Bear River,Fall Run
610,0,Bear River,Fall Run
760,0,Bear River,Fall Run
910,11.887258953168,Bear River,Fall Run
927,13.2517938475666,Bear River,Fall Run
1060,23.9272727272727,Bear River,Fall Run
1210,33.6188934802571,Bear River,Fall Run
1360,41.6129935720845,Bear River,Fall Run
1510,48.1365472910927,Bear River,Fall Run
1660,54.660101010101,Bear River,Fall Run
1810,61.1836547291093,Bear River,Fall Run
1960,67.669696969697,Bear River,Fall Run
2110,73.1818526170799,Bear River,Fall Run
2260,78.6940082644628,Bear River,Fall Run
2410,83.5682966023875,Bear River,Fall Run
2560,88.0639807162534,Bear River,Fall Run
2710,94.3392791551882,Bear River,Fall Run
2860,99.4477272727273,Bear River,Fall Run
3010,103.664026629936,Bear River,Fall Run
3160,108.741896235078,Bear River,Fall Run
3310,113.183149678604,Bear River,Fall Run
3460,117.622887970615,Bear River,Fall Run
3610,122.431175390266,Bear River,Fall Run
3760,127.615955004591,Bear River,Fall Run
3910,132.430211202938,Bear River,Fall Run
4060,139.658815426997,Bear River,Fall Run
4210,145.833126721763,Bear River,Fall Run
4360,166.952708907254,Bear River,Fall Run
4510,176.922865013774,Bear River,Fall Run
4660,186.156496786042,Bear River,Fall Run
4810,204.254981634527,Bear River,Fall Run
4960,213.639393939394,Bear River,Fall Run
5110,224.01593204775,Bear River,Fall Run
5260,235.281427915519,Bear River,Fall Run
10,0,Bear River,Steelhead
160,0,Bear River,Steelhead
310,0,Bear River,Steelhead
460,0,Bear River,Steelhead
610,0,Bear River,Steelhead
760,0,Bear River,Steelhead
910,11.887258953168,Bear River,Steelhead
927,13.2517938475666,Bear River,Steelhead
1060,23.9272727272727,Bear River,Steelhead
1210,33.6188934802571,Bear River,Steelhead
1360,41.6129935720845,Bear River,Steelhead
1510,48.1365472910927,Bear River,Steelhead
1660,54.660101010101,Bear River,Steelhead
1810,61.1836547291093,Bear River,Steelhead
1960,67.669696969697,Bear River,Steelhead
2110,73.1818526170799,Bear River,Steelhead
2260,78.6940082644628,Bear River,Steelhead
2410,83.5682966023875,Bear River,Steelhead
2560,88.0639807162534,Bear River,Steelhead
2710,94.3392791551882,Bear River,Steelhead
2860,99.4477272727273,Bear River,Steelhead
3010,103.664026629936,Bear River,Steelhead
3160,108.741896235078,Bear River,Steelhead
3310,113.183149678604,Bear River,Steelhead
3460,117.622887970615,Bear River,Steelhead
3610,122.431175390266,Bear River,Steelhead
3760,127.615955004591,Bear River,Steelhead
3910,132.430211202938,Bear River,Steelhead
4060,139.658815426997,Bear River,Steelhead
4210,145.833126721763,Bear River,Steelhead
4360,166.952708907254,Bear River,Steelhead
4510,176.922865013774,Bear River,Steelhead
4660,186.156496786042,Bear River,Steelhead
4810,204.254981634527,Bear River,Steelhead
4960,213.639393939394,Bear River,Steelhead
5110,224.01593204775,Bear River,Steelhead
5260,235.281427915519,Bear River,Steelhead
