flow_cfs,floodplain_acres,watershed
40,0,Cottonwood Creek
400,7.81471533516989,Cottonwood Creek
760,13.4637052341598,Cottonwood Creek
1120,21.5740817263545,Cottonwood Creek
1480,28.4517676767677,Cottonwood Creek
1840,35.0370064279155,Cottonwood Creek
1870,35.675120523416,Cottonwood Creek
2200,42.694375573921,Cottonwood Creek
2560,53.0504591368228,Cottonwood Creek
2920,65.9245408631772,Cottonwood Creek
3280,81.212741046832,Cottonwood Creek
3640,94.1188246097337,Cottonwood Creek
4000,105.713429752066,Cottonwood Creek
4360,115.185629017447,Cottonwood Creek
4720,124.469788797062,Cottonwood Creek
5080,141.708310376492,Cottonwood Creek
5440,151.436042240588,Cottonwood Creek
5800,159.270293847567,Cottonwood Creek
6160,167.116000918274,Cottonwood Creek
6520,175.96955922865,Cottonwood Creek
6880,185.786662075298,Cottonwood Creek
7240,192.712970615243,Cottonwood Creek
7600,199.887878787879,Cottonwood Creek
7960,207.15121671258,Cottonwood Creek
8320,214.502180899908,Cottonwood Creek
8680,220.505463728191,Cottonwood Creek
9040,225.44455922865,Cottonwood Creek
9400,230.421740128558,Cottonwood Creek
9760,234.634825528007,Cottonwood Creek
10120,239.273461891644,Cottonwood Creek
10480,244.416184573003,Cottonwood Creek
10840,248.758448117539,Cottonwood Creek
