 WUA in square feet per 1000 feet,,,,
flow_cfs,spawn_WUA,fry_WUA,juv_WUA,watershed
86,547,NA,NA,Cottonwood Creek
110,625,NA,NA,Cottonwood Creek
133,709,NA,NA,Cottonwood Creek
176,792,NA,NA,Cottonwood Creek
220,695,NA,NA,Cottonwood Creek
260,547,NA,NA,Cottonwood Creek
15,NA,"16,986","5,943",Cottonwood Creek
45,NA,"19,599","8,907",Cottonwood Creek
55,NA,"20,296","9,538",Cottonwood Creek
60,NA,"20,378","9,831",Cottonwood Creek
65,NA,"20,419","10,096",Cottonwood Creek
70,NA,"20,454","10,348",Cottonwood Creek
75,NA,"20,566","10,614",Cottonwood Creek
85,NA,"20,737","11,146",Cottonwood Creek
95,NA,"20,922","11,734",Cottonwood Creek
100,NA,"21,005","11,989",Cottonwood Creek
120,NA,"21,388","12,851",Cottonwood Creek
140,NA,"21,516","13,492",Cottonwood Creek
160,NA,"21,626","14,174",Cottonwood Creek
190,NA,"21,941","15,169",Cottonwood Creek
230,NA,"22,918","16,340",Cottonwood Creek
270,NA,"24,163","17,261",Cottonwood Creek
320,NA,"25,289","18,198",Cottonwood Creek
375,NA,"27,257","19,348",Cottonwood Creek
440,NA,"28,897","20,291",Cottonwood Creek
480,NA,"30,668","20,599",Cottonwood Creek
530,NA,"32,447","20,723",Cottonwood Creek
625,NA,"33,976","20,725",Cottonwood Creek
740,NA,"34,880","20,720",Cottonwood Creek
900,NA,"36,666","20,780",Cottonwood Creek
1100,NA,38112.6329486196,20799.4662868075,Cottonwood Creek
1300,NA,39213.1397812934,21064.7711111066,Cottonwood Creek
1650,NA,39120.6037634418,21966.4210733784,Cottonwood Creek
2100,NA,39311.4017401595,22915.8927560017,Cottonwood Creek
2900,NA,44052.3860300848,24552.4592060732,Cottonwood Creek
4400,NA,47064.6412064418,25981.2640041893,Cottonwood Creek
