flow_cfs,floodplain_acres,watershed
200.5,0,Calaveras River
250.6,2.46,Calaveras River
300.7,5.24,Calaveras River
350.9,7.98,Calaveras River
401,10.71,Calaveras River
451.1,13.45,Calaveras River
501.2,16.9,Calaveras River
551.4,20.27,Calaveras River
601.5,23.21,Calaveras River
651.6,26.6,Calaveras River
701.7,30,Calaveras River
751.9,33.35,Calaveras River
802,36.71,Calaveras River
852.1,40.02,Calaveras River
902.2,43.34,Calaveras River
952.4,46.44,Calaveras River
1002.5,49.55,Calaveras River
1052.6,53.22,Calaveras River
1102.7,56.89,Calaveras River
1152.8,60.38,Calaveras River
1203,63.86,Calaveras River
1253.1,67.48,Calaveras River
1303.2,71.1,Calaveras River
1353.3,74.13,Calaveras River
1403.5,77.17,Calaveras River
1453.6,80.39,Calaveras River
1503.7,83.62,Calaveras River
1553.8,87.03,Calaveras River
1604,90.44,Calaveras River
1654.1,102.04,Calaveras River
1704.2,113.64,Calaveras River
1754.3,118.53,Calaveras River
1804.5,123.42,Calaveras River
