flow_cfs,floodplain_acres,watershed,species
40,0,Cottonwood Creek,Fall Run
400,7.81471533516989,Cottonwood Creek,Fall Run
760,13.4637052341598,Cottonwood Creek,Fall Run
1120,21.5740817263545,Cottonwood Creek,Fall Run
1480,28.4517676767677,Cottonwood Creek,Fall Run
1840,35.0370064279155,Cottonwood Creek,Fall Run
1870,35.675120523416,Cottonwood Creek,Fall Run
2200,42.694375573921,Cottonwood Creek,Fall Run
2560,53.0504591368228,Cottonwood Creek,Fall Run
2920,65.9245408631772,Cottonwood Creek,Fall Run
3280,81.212741046832,Cottonwood Creek,Fall Run
3640,94.1188246097337,Cottonwood Creek,Fall Run
4000,105.713429752066,Cottonwood Creek,Fall Run
4360,115.185629017447,Cottonwood Creek,Fall Run
4720,124.469788797062,Cottonwood Creek,Fall Run
5080,141.708310376492,Cottonwood Creek,Fall Run
5440,151.436042240588,Cottonwood Creek,Fall Run
5800,159.270293847567,Cottonwood Creek,Fall Run
6160,167.116000918274,Cottonwood Creek,Fall Run
6520,175.96955922865,Cottonwood Creek,Fall Run
6880,185.786662075298,Cottonwood Creek,Fall Run
7240,192.712970615243,Cottonwood Creek,Fall Run
7600,199.887878787879,Cottonwood Creek,Fall Run
7960,207.15121671258,Cottonwood Creek,Fall Run
8320,214.502180899908,Cottonwood Creek,Fall Run
8680,220.505463728191,Cottonwood Creek,Fall Run
9040,225.44455922865,Cottonwood Creek,Fall Run
9400,230.421740128558,Cottonwood Creek,Fall Run
9760,234.634825528007,Cottonwood Creek,Fall Run
10120,239.273461891644,Cottonwood Creek,Fall Run
10480,244.416184573003,Cottonwood Creek,Fall Run
10840,248.758448117539,Cottonwood Creek,Fall Run
