flow_cfs,floodplain_acres,watershed
90,0,Elder Creek
130,12.77,Elder Creek
170,21.56,Elder Creek
196,24.25,Elder Creek
210,25.7,Elder Creek
250,29,Elder Creek
290,32.11,Elder Creek
330,34.75,Elder Creek
370,37.11,Elder Creek
410,38.87,Elder Creek
450,40.51,Elder Creek
490,42.09,Elder Creek
530,43.42,Elder Creek
570,44.7,Elder Creek
610,45.98,Elder Creek
650,47.14,Elder Creek
690,48.28,Elder Creek
730,49.4,Elder Creek
770,50.41,Elder Creek
810,51.57,Elder Creek
850,52.47,Elder Creek
890,53.31,Elder Creek
930,54.11,Elder Creek
970,55.03,Elder Creek
1010,55.79,Elder Creek
1050,56.61,Elder Creek
1090,57.28,Elder Creek
1130,58.03,Elder Creek
1170,58.71,Elder Creek
