flow_cfs,FR_floodplain_acres,watershed
250,0,Merced River
500,5.5948438935,Merced River
750,32.2551515152,Merced River
876,43.2020176309,Merced River
1000,53.9751239669,Merced River
1250,75.2615564738,Merced River
1500,97.9534527089,Merced River
1750,123.5046464646,Merced River
2000,149.3977134986,Merced River
2500,211.7413314968,Merced River
3000,277.4303581267,Merced River
3500,345.3133930211,Merced River
4000,405.1178236915,Merced River
4500,485.7469100092,Merced River
5000,557.4646326905,Merced River
5500,664.3821028466,Merced River
6000,844.9931450872,Merced River
6500,1018.1113498623,Merced River
7000,1182.3132552801,Merced River
7500,1566.3133241506,Merced River
8000,1920.3371303949,Merced River
8500,2263.1472773186,Merced River
9000,2557.6523507805,Merced River
