flow_cfs,floodplain_acres,watershed
502.7,0,Mokelumne River
628.3,19.4,Mokelumne River
754,41.5,Mokelumne River
879.7,63.2,Mokelumne River
1005.3,84.8,Mokelumne River
1131,106.4,Mokelumne River
1256.7,133.8,Mokelumne River
1382.3,160.4,Mokelumne River
1508,183.7,Mokelumne River
1633.7,210.6,Mokelumne River
1759.4,237.4,Mokelumne River
1885,264,Mokelumne River
2010.7,290.5,Mokelumne River
2136.4,316.8,Mokelumne River
2262,343,Mokelumne River
2387.7,367.6,Mokelumne River
2513.4,392.1,Mokelumne River
2639,421.2,Mokelumne River
2764.7,450.3,Mokelumne River
2890.4,477.8,Mokelumne River
3016,505.4,Mokelumne River
3141.7,534.1,Mokelumne River
3267.4,562.7,Mokelumne River
3393,586.7,Mokelumne River
3518.7,610.7,Mokelumne River
3644.4,636.3,Mokelumne River
3770,661.8,Mokelumne River
3895.7,688.8,Mokelumne River
4021.4,715.8,Mokelumne River
4147,807.6,Mokelumne River
4272.7,899.4,Mokelumne River
4398.4,938.1,Mokelumne River
4524,976.8,Mokelumne River
