flow_cfs,floodplain_acres,watershed
359.62,0,Antelope Creek
406.32,1.23,Antelope Creek
453.03,3.61,Antelope Creek
499.73,5.61,Antelope Creek
546.43,7.76,Antelope Creek
593.14,9.67,Antelope Creek
639.84,11.69,Antelope Creek
686.54,13.61,Antelope Creek
733.25,15.46,Antelope Creek
779.95,17.05,Antelope Creek
826.66,18.57,Antelope Creek
873.36,20,Antelope Creek
920.06,21.26,Antelope Creek
966.77,22.59,Antelope Creek
1013.47,23.63,Antelope Creek
1060.17,24.67,Antelope Creek
1106.88,25.58,Antelope Creek
1153.58,26.56,Antelope Creek
1200.29,27.52,Antelope Creek
1246.99,28.46,Antelope Creek
1293.69,29.35,Antelope Creek
1340.4,30.06,Antelope Creek
