flow_cfs,floodplain_acres,watershed
1133.95,0,Battle Creek
1281.22,1.81,Battle Creek
1428.48,5.31,Battle Creek
1575.75,8.25,Battle Creek
1723.02,11.41,Battle Creek
1870.28,14.2,Battle Creek
2017.55,17.18,Battle Creek
2164.82,20,Battle Creek
2312.08,22.72,Battle Creek
2459.35,25.05,Battle Creek
2606.62,27.29,Battle Creek
2753.88,29.39,Battle Creek
2901.15,31.25,Battle Creek
3048.41,33.2,Battle Creek
3195.68,34.73,Battle Creek
3342.95,36.26,Battle Creek
3490.21,37.59,Battle Creek
3637.48,39.04,Battle Creek
3784.75,40.45,Battle Creek
3932.01,41.82,Battle Creek
4079.28,43.13,Battle Creek
4226.55,44.18,Battle Creek
