flow_cfs,floodplain_acres,watershed
195.5,0,Bear Creek
220.89,0.3,Bear Creek
246.28,0.88,Bear Creek
271.67,1.36,Bear Creek
297.06,1.88,Bear Creek
322.45,2.34,Bear Creek
347.84,2.84,Bear Creek
373.23,3.3,Bear Creek
398.62,3.75,Bear Creek
424.01,4.13,Bear Creek
449.4,4.5,Bear Creek
474.79,4.85,Bear Creek
500.18,5.16,Bear Creek
525.57,5.48,Bear Creek
550.96,5.73,Bear Creek
576.35,5.98,Bear Creek
601.74,6.2,Bear Creek
627.13,6.44,Bear Creek
652.52,6.67,Bear Creek
677.91,6.9,Bear Creek
703.3,7.12,Bear Creek
728.69,7.29,Bear Creek
