flow_cfs,floodplain_acres,watershed
310,0,Butte Creek
410,19.6,Butte Creek
450,31.3,Butte Creek
510,48.8,Butte Creek
610,74.5,Butte Creek
710,91.1,Butte Creek
810,102.2,Butte Creek
910,109.5,Butte Creek
1010,116.3,Butte Creek
1110,126.8,Butte Creek
1210,133.4,Butte Creek
1310,140.6,Butte Creek
1410,145.7,Butte Creek
1510,150.5,Butte Creek
1610,158,Butte Creek
1710,163.1,Butte Creek
1810,175,Butte Creek
1910,180.4,Butte Creek
2010,184.8,Butte Creek
2110,189.2,Butte Creek
2210,194,Butte Creek
2310,200.6,Butte Creek
2410,204.5,Butte Creek
2510,208.6,Butte Creek
2610,214.6,Butte Creek
2710,218.4,Butte Creek
2810,222.6,Butte Creek
2910,226.4,Butte Creek
