flow_cfs,floodplain_acres,watershed,species
10,,Cosumnes River,Fall Run
210,,Cosumnes River,Fall Run
410,,Cosumnes River,Fall Run
610,,Cosumnes River,Fall Run
810,,Cosumnes River,Fall Run
1010,,Cosumnes River,Fall Run
1122,106.1,Cosumnes River,Fall Run
1210,,Cosumnes River,Fall Run
1410,,Cosumnes River,Fall Run
1610,,Cosumnes River,Fall Run
1810,,Cosumnes River,Fall Run
2010,,Cosumnes River,Fall Run
2210,,Cosumnes River,Fall Run
2410,,Cosumnes River,Fall Run
2610,,Cosumnes River,Fall Run
2810,,Cosumnes River,Fall Run
3010,,Cosumnes River,Fall Run
3210,,Cosumnes River,Fall Run
3410,,Cosumnes River,Fall Run
3610,,Cosumnes River,Fall Run
3810,,Cosumnes River,Fall Run
4010,,Cosumnes River,Fall Run
4210,,Cosumnes River,Fall Run
4410,,Cosumnes River,Fall Run
4610,,Cosumnes River,Fall Run
4810,,Cosumnes River,Fall Run
5010,,Cosumnes River,Fall Run
5210,,Cosumnes River,Fall Run
5410,,Cosumnes River,Fall Run
5610,,Cosumnes River,Fall Run
5810,,Cosumnes River,Fall Run
6010,,Cosumnes River,Fall Run
6210,,Cosumnes River,Fall Run
6410,,Cosumnes River,Fall Run
6610,,Cosumnes River,Fall Run
10,,Cosumnes River,Steelhead
210,,Cosumnes River,Steelhead
410,,Cosumnes River,Steelhead
610,,Cosumnes River,Steelhead
810,,Cosumnes River,Steelhead
1010,,Cosumnes River,Steelhead
1122,106.1,Cosumnes River,Steelhead
1210,,Cosumnes River,Steelhead
1410,,Cosumnes River,Steelhead
1610,,Cosumnes River,Steelhead
1810,,Cosumnes River,Steelhead
2010,,Cosumnes River,Steelhead
2210,,Cosumnes River,Steelhead
2410,,Cosumnes River,Steelhead
2610,,Cosumnes River,Steelhead
2810,,Cosumnes River,Steelhead
3010,,Cosumnes River,Steelhead
3210,,Cosumnes River,Steelhead
3410,,Cosumnes River,Steelhead
3610,,Cosumnes River,Steelhead
3810,,Cosumnes River,Steelhead
4010,,Cosumnes River,Steelhead
4210,,Cosumnes River,Steelhead
4410,,Cosumnes River,Steelhead
4610,,Cosumnes River,Steelhead
4810,,Cosumnes River,Steelhead
5010,,Cosumnes River,Steelhead
5210,,Cosumnes River,Steelhead
5410,,Cosumnes River,Steelhead
5610,,Cosumnes River,Steelhead
5810,,Cosumnes River,Steelhead
6010,,Cosumnes River,Steelhead
6210,,Cosumnes River,Steelhead
6410,,Cosumnes River,Steelhead
6610,,Cosumnes River,Steelhead
