flow_cfs,floodplain_acres,watershed
1660.29,0,Cow Creek
1875.91,6.38,Cow Creek
2091.53,18.75,Cow Creek
2307.16,29.12,Cow Creek
2522.78,40.27,Cow Creek
2738.4,50.13,Cow Creek
2954.02,60.64,Cow Creek
3169.64,70.57,Cow Creek
3385.27,80.17,Cow Creek
3600.89,88.41,Cow Creek
3816.51,96.3,Cow Creek
4032.13,103.72,Cow Creek
4247.75,110.27,Cow Creek
4463.38,117.17,Cow Creek
4679,122.55,Cow Creek
4894.62,127.96,Cow Creek
5110.24,132.65,Cow Creek
5325.87,137.78,Cow Creek
5541.49,142.73,Cow Creek
5757.11,147.58,Cow Creek
5972.73,152.21,Cow Creek
6188.35,155.93,Cow Creek
