flow_cfs,floodplain_acres,watershed
250,0,Merced River
500,5.59,Merced River
750,32.26,Merced River
1000,53.98,Merced River
1250,75.26,Merced River
1500,97.95,Merced River
1750,123.5,Merced River
2000,149.4,Merced River
2500,211.74,Merced River
3000,277.43,Merced River
3500,345.31,Merced River
4000,405.12,Merced River
4500,485.75,Merced River
5000,557.46,Merced River
5500,664.38,Merced River
6000,844.99,Merced River
6500,1018.11,Merced River
7000,1182.31,Merced River
7500,1566.31,Merced River
8000,1920.34,Merced River
8500,2263.15,Merced River
9000,2557.65,Merced River
