flow_cfs,floodplain_acres,watershed
171.3,0,Paynes Creek
193.55,0.14,Paynes Creek
215.79,0.41,Paynes Creek
238.04,0.64,Paynes Creek
260.29,0.89,Paynes Creek
282.53,1.1,Paynes Creek
304.78,1.33,Paynes Creek
327.03,1.55,Paynes Creek
349.27,1.76,Paynes Creek
371.52,1.95,Paynes Creek
393.77,2.12,Paynes Creek
416.01,2.28,Paynes Creek
438.26,2.43,Paynes Creek
460.51,2.58,Paynes Creek
482.75,2.7,Paynes Creek
505,2.82,Paynes Creek
527.25,2.92,Paynes Creek
549.49,3.03,Paynes Creek
571.74,3.14,Paynes Creek
593.98,3.25,Paynes Creek
616.23,3.35,Paynes Creek
638.48,3.43,Paynes Creek
