flow_cfs,floodplain_acres,watershed,species
0.081458711253547,352.985049575589,Sutter Bypass,Fall Run
13.8607387542725,352.985049575589,Sutter Bypass,Fall Run
20.1956285664455,374.264235286629,Sutter Bypass,Fall Run
22.0631269840379,381.82020788103,Sutter Bypass,Fall Run
28.4497318267822,383.206857795017,Sutter Bypass,Fall Run
34.6869691838872,388.415373852235,Sutter Bypass,Fall Run
41.2591225421491,389.898806763861,Sutter Bypass,Fall Run
51.5215835571289,405.803398712029,Sutter Bypass,Fall Run
60.6497917175293,420.014449649834,Sutter Bypass,Fall Run
67.3703628302856,428.982785220946,Sutter Bypass,Fall Run
68.3108463979138,432.86470648352,Sutter Bypass,Fall Run
81.066915185958,444.254325596954,Sutter Bypass,Fall Run
89.7850875854492,471.086631090839,Sutter Bypass,Fall Run
93.3890617647319,478.768097363812,Sutter Bypass,Fall Run
118.137849303725,484.893652668539,Sutter Bypass,Fall Run
150.759020316168,527.344492163474,Sutter Bypass,Fall Run
195.616811525019,631.553794879151,Sutter Bypass,Fall Run
249.990497727468,678.81889874417,Sutter Bypass,Fall Run
281.524889535855,735.555466116693,Sutter Bypass,Fall Run
395.011937274834,820.019106575776,Sutter Bypass,Fall Run
487.795500760251,897.357669483928,Sutter Bypass,Fall Run
552.159427623057,932.113355309991,Sutter Bypass,Fall Run
588.941792068086,954.009119178147,Sutter Bypass,Fall Run
692.546040273083,1009.4774900768,Sutter Bypass,Fall Run
752.386670680862,1029.53903364509,Sutter Bypass,Fall Run
813.558561493078,1054.83561385823,Sutter Bypass,Fall Run
877.832260052775,1098.02558562492,Sutter Bypass,Fall Run
1082.01422150765,1152.99266241691,Sutter Bypass,Fall Run
1204.13693474488,1179.7960259278,Sutter Bypass,Fall Run
1324.86993756072,1205.09260614095,Sutter Bypass,Fall Run
1330.71337969686,1228.60697656192,Sutter Bypass,Fall Run
1895.27934858095,1365.25155660829,Sutter Bypass,Fall Run
2181.7589952538,1439.63084134376,Sutter Bypass,Fall Run
2385.06988493766,1453.19038777534,Sutter Bypass,Fall Run
2430.8276620183,1511.72550187274,Sutter Bypass,Fall Run
