flow_cfs,floodplain_acres,watershed
1000,0,Tuolumne River
1250,35.9607,Tuolumne River
1500,76.6787,Tuolumne River
1750,116.875,Tuolumne River
2000,156.8595,Tuolumne River
2250,196.8492,Tuolumne River
2500,247.438,Tuolumne River
2750,296.7769,Tuolumne River
3000,339.7882,Tuolumne River
3250,389.4654,Tuolumne River
3500,439.1426,Tuolumne River
3750,488.2541,Tuolumne River
4000,537.3657,Tuolumne River
4250,585.9013,Tuolumne River
4500,634.437,Tuolumne River
4750,679.8941,Tuolumne River
5000,725.3512,Tuolumne River
5250,779.109,Tuolumne River
5500,832.8667,Tuolumne River
5750,883.8636,Tuolumne River
6000,934.8605,Tuolumne River
6250,987.8461,Tuolumne River
6500,1040.8316,Tuolumne River
6750,1085.2505,Tuolumne River
7000,1129.6694,Tuolumne River
7250,1176.9034,Tuolumne River
7500,1224.1374,Tuolumne River
7750,1274.0393,Tuolumne River
8000,1323.9411,Tuolumne River
8250,1493.7448,Tuolumne River
8500,1663.5486,Tuolumne River
8750,1735.1369,Tuolumne River
9000,1806.7252,Tuolumne River
