flow_cfs,wua_ft2
0,0
50,213899
100,407129
150,581175
200,737464
300,1002199
400,1211600
500,1380535
1e3,1746319
1200,1830899
1400,1874802
1600,1884001
1800,1873823
2e3,1842271
2200,1795973
2400,1730322
2600,1650341
2800,1569993
3e3,1499420
3400,1362842
3800,1230533
4200,1111178
4600,986267
5e3,909508
5400,840726
5800,780997
6200,692874
6600,635208
7e3,578846
7400,529805
7800,490093
8200,455519
8600,421156
9e3,393293
9400,372380
9800,377188
10400,339853
11e3,307436
12e3,274993
13e3,246944
14e3,223532
15e3,203736
16e3,186808
17e3,172190
18e3,159457
19e3,148280
2e4,138402
21e3,129617
22e3,121761
23e3,114699
24e3,108322
25e3,102539
26e3,97273
27e3,92462
28e3,88051
