"American River 1985 FWS PHABSIM; Flow in cfs, WUA in square feet per 1000 feet",,,,,
Flow,Spawning,Fry Rearing,Juv Rearing,Segment,Segment Length
300,21206,59897,112381.25,1,
500,53339.75,54065,108736.25,1,
750,78709.5,49959.25,99007,1,
1000,93705.75,42334,93968.25,1,
1250,100355,38006,86484.75,1,
1500,104301.75,35099.75,82350.5,1,
1750,107399,31519.5,76739,1,
2000,105864,27976.25,75271.25,1,
2250,102376,25199,57607.75,1,
2500,98173.25,23179.5,51787.5,1,
3000,84624.25,20569.5,43768.25,1,
300,24617,54290,84979,Sailor Bar,
500,41556,52565,85285,Sailor Bar,
750,55278,52152,88719,Sailor Bar,
1000,90253,45807,83718,Sailor Bar,
1250,100729,39899,79220,Sailor Bar,
1500,110118,35588,73709,Sailor Bar,
1750,118993,32914,68910,Sailor Bar,
2000,117838,30355,80205,Sailor Bar,
2250,112515,28808,55085,Sailor Bar,
2500,109878,27748,52173,Sailor Bar,
3000,92128,25691,47189,Sailor Bar,
300,27832,48989,105009,Ancil Hoffman,
500,75334,40250,92872,Ancil Hoffman,
750,103693,41344,83210,Ancil Hoffman,
1000,115761,40823,88889,Ancil Hoffman,
1250,112387,44222,84751,Ancil Hoffman,
1500,103872,44307,88883,Ancil Hoffman,
1750,92541,38920,88180,Ancil Hoffman,
2000,85581,32570,88818,Ancil Hoffman,
2250,76809,27334,59184,Ancil Hoffman,
2500,66521,24061,53767,Ancil Hoffman,
3000,43791,19784,45221,Ancil Hoffman,
300,28271,97371,198681,Watt,
500,79733,82784,186774,Watt,
750,120535,68740,155500,Watt,
1000,130878,50430,136755,Watt,
1250,145503,38705,117782,Watt,
1500,157604,33743,104118,Watt,
1750,169209,29325,89902,Watt,
2000,171447,25633,76647,Watt,
2250,170800,22634,64235,Watt,
2500,166001,20080,53162,Watt,
3000,148281,17990,40758,Watt,
300,4104,38938,60856,H Street,
500,16736,40661,70014,H Street,
750,35332,37601,68599,H Street,
1000,37931,32276,66511,H Street,
1250,42801,29198,64186,H Street,
1500,45613,26761,62692,H Street,
1750,48853,24919,59964,H Street,
2000,48590,23347,55415,H Street,
2250,49380,22020,51927,H Street,
2500,50293,20829,48048,H Street,
3000,54297,18813,41905,H Street,
