"fall run, use same WUA for spring and steelhead",,,,,
WUA in square feet per 1000 feet,,,,,
flow_cfs,spawn_WUA,fry_WUA,juv_WUA,adult_trout_WUA,watershed
8,130.33,15577.42,4951.72,9122.98,Battle Creek
10,200.1,15410.91,5858,9728,Battle Creek
12,275.77,15181.16,6704.73,10253.11,Battle Creek
14,358.81,14928.81,7488.45,10711.28,Battle Creek
16,435.23,14661.05,8211.5,11113.88,Battle Creek
18,513.79,14371.35,8879.5,11459.39,Battle Creek
20,597.66,14082.55,9490.31,11757.96,Battle Creek
22,684.92,13801.1,10052.14,12016.61,Battle Creek
24,770.04,13522.99,10572.89,12252.12,Battle Creek
26,846.28,13115.41,11205.03,12438.86,Battle Creek
31,1090.52,12375.69,12373.28,12779.05,Battle Creek
36,1328.48,11681.07,13328.5,12992.91,Battle Creek
41,1511.89,11028.57,14080.61,13073.59,Battle Creek
46,1668.26,10418.42,14650.98,13049.17,Battle Creek
51,1804.88,9906.73,15039.61,12942.18,Battle Creek
56,1889.7,9434.44,15312.61,12778.29,Battle Creek
61,1955.18,9009.93,15482.99,12568.62,Battle Creek
66,1991.43,8625.72,15594.55,12337.29,Battle Creek
71,2009.21,8271.12,15656.39,12079.79,Battle Creek
76,2027.93,7947,15652.78,11808.1,Battle Creek
81,2036.84,7646.64,15606.33,11529.67,Battle Creek
86,2040.43,7370.87,15542.76,11254.01,Battle Creek
91,2032.97,7114.58,15448.67,10981.37,Battle Creek
96,2021.53,6885.15,15324.4,10703.66,Battle Creek
116,1876.14,6044.96,14676.26,9645.83,Battle Creek
136,1760.75,5429.02,13815.78,8719.87,Battle Creek
156,1623.53,4972.18,12873.87,7947.56,Battle Creek
176,1536.03,4597.43,11898.81,7300.59,Battle Creek
196,1446.16,4327.08,11039.48,6844,Battle Creek
221,1313.57,4092.68,10064.52,6385.16,Battle Creek
246,1213.44,3936.36,9237.59,6042.64,Battle Creek
271,1121.83,3846.61,8527.15,5785.75,Battle Creek
296,1009.8,3795.06,7902.99,5563.47,Battle Creek
321,899.96,3736.54,7335.58,5367.77,Battle Creek
346,796.08,3678.78,6852.39,5224.47,Battle Creek
