 WUA in square feet per 1000 feet,,,,
flow_cfs,spawn_WUA,fry_WUA,juv_WUA,watershed
86,547.4118508505,NA,NA,Cottonwood Creek
110,624.8591866622,NA,NA,Cottonwood Creek
133,709.3471893658,NA,NA,Cottonwood Creek
176,792.0750253464,NA,NA,Cottonwood Creek
220,695.2658555818,NA,NA,Cottonwood Creek
260,547.4118508505,NA,NA,Cottonwood Creek
15,NA,16986.1863016198,5942.7837647142,Cottonwood Creek
45,NA,19598.7234713539,8906.8569444861,Cottonwood Creek
55,NA,20296.1408615958,9538.3622992994,Cottonwood Creek
60,NA,20377.5244777586,9831.2995109386,Cottonwood Creek
65,NA,20419.1314615721,10095.5448369806,Cottonwood Creek
70,NA,20453.750689252,10347.7572322109,Cottonwood Creek
75,NA,20566.0343901375,10613.9766866069,Cottonwood Creek
85,NA,20737.2005671844,11146.1737599417,Cottonwood Creek
95,NA,20921.8586800275,11734.069920386,Cottonwood Creek
100,NA,21004.7361807844,11989.4667197518,Cottonwood Creek
120,NA,21388.2235099309,12850.5696595141,Cottonwood Creek
140,NA,21516.0245513922,13491.8297886074,Cottonwood Creek
160,NA,21625.8284830473,14173.5308566046,Cottonwood Creek
190,NA,21940.820540735,15169.1631076096,Cottonwood Creek
230,NA,22917.7914570602,16340.4028256657,Cottonwood Creek
270,NA,24163.3447399471,17260.9260673386,Cottonwood Creek
320,NA,25288.5522160793,18198.08929121,Cottonwood Creek
375,NA,27257.4320524307,19347.8231126622,Cottonwood Creek
440,NA,28896.9383082099,20291.2891491399,Cottonwood Creek
480,NA,30667.6370439409,20599.3574483783,Cottonwood Creek
530,NA,32447.1906200422,20722.8800273276,Cottonwood Creek
625,NA,33975.5516230498,20724.5739639961,Cottonwood Creek
740,NA,34880.311932493,20719.8662398357,Cottonwood Creek
900,NA,36665.8471770447,20779.9987773049,Cottonwood Creek
1100,NA,38112.6329486196,20799.4662868075,Cottonwood Creek
1300,NA,39213.1397812934,21064.7711111066,Cottonwood Creek
1650,NA,39120.6037634418,21966.4210733784,Cottonwood Creek
2100,NA,39311.4017401595,22915.8927560017,Cottonwood Creek
2900,NA,44052.3860300848,24552.4592060732,Cottonwood Creek
4400,NA,47064.6412064418,25981.2640041893,Cottonwood Creek
