species,scenario,life_stage,suit_type,flow,suit_acres,timestamp,has_lowering
Steelhead,Alt1,spawn,instream,100,30.15729951239433,2018-11-15T06:00:00Z,FALSE
Steelhead,Alt1,fry,instream,100,1.8733061970317502,2018-11-15T06:00:00Z,FALSE
Steelhead,Alt1,fry,floodplain,100,4.4383931553779234,2018-11-15T06:00:00Z,FALSE
Steelhead,Alt1,juv,instream,100,37.05561090545758,2018-11-15T06:00:00Z,FALSE
Steelhead,Alt1,juv,floodplain,100,9.096270462444602,2018-11-15T06:00:00Z,FALSE
Steelhead,Alt1,spawn,instream,250,37.2222801490011,2018-11-15T16:00:00Z,FALSE
Steelhead,Alt1,fry,instream,250,0.945412156085074,2018-11-15T16:00:00Z,FALSE
Steelhead,Alt1,fry,floodplain,250,5.4144968131053695,2018-11-15T16:00:00Z,FALSE
Steelhead,Alt1,juv,instream,250,45.32246019714973,2018-11-15T16:00:00Z,FALSE
Steelhead,Alt1,juv,floodplain,250,18.062684789046067,2018-11-15T16:00:00Z,FALSE
Steelhead,Alt1,spawn,instream,300,35.83384285481917,2018-11-16T02:00:00Z,FALSE
Steelhead,Alt1,fry,instream,300,0.7150265224251035,2018-11-16T02:00:00Z,FALSE
Steelhead,Alt1,fry,floodplain,300,6.291044853413763,2018-11-16T02:00:00Z,FALSE
Steelhead,Alt1,juv,instream,300,45.84757105473515,2018-11-16T02:00:00Z,FALSE
Steelhead,Alt1,juv,floodplain,300,21.546920806216786,2018-11-16T02:00:00Z,FALSE
Steelhead,Alt1,spawn,instream,400,31.40493864178123,2018-11-16T12:00:00Z,FALSE
Steelhead,Alt1,fry,instream,400,0.4891989425689437,2018-11-16T12:00:00Z,FALSE
Steelhead,Alt1,fry,floodplain,400,7.13557996850328,2018-11-16T12:00:00Z,FALSE
Steelhead,Alt1,juv,instream,400,44.3236383067119,2018-11-16T12:00:00Z,FALSE
Steelhead,Alt1,juv,floodplain,400,26.85133451681876,2018-11-16T12:00:00Z,FALSE
Steelhead,Alt1,spawn,instream,500,27.05834192706252,2018-11-16T22:00:00Z,FALSE
Steelhead,Alt1,fry,instream,500,0.31793845393796166,2018-11-16T22:00:00Z,FALSE
Steelhead,Alt1,fry,floodplain,500,9.155885682385724,2018-11-16T22:00:00Z,FALSE
Steelhead,Alt1,juv,instream,500,41.33256470803586,2018-11-16T22:00:00Z,FALSE
Steelhead,Alt1,juv,floodplain,500,32.45992809412517,2018-11-16T22:00:00Z,FALSE
Steelhead,Alt1,spawn,instream,600,23.298025630655342,2018-11-17T08:00:00Z,FALSE
Steelhead,Alt1,fry,instream,600,0.21473771744267678,2018-11-17T08:00:00Z,FALSE
Steelhead,Alt1,fry,floodplain,600,10.379379940814347,2018-11-17T08:00:00Z,FALSE
Steelhead,Alt1,juv,instream,600,38.08059323620045,2018-11-17T08:00:00Z,FALSE
Steelhead,Alt1,juv,floodplain,600,38.94326107031279,2018-11-17T08:00:00Z,FALSE
Steelhead,Alt1,spawn,instream,1000,13.278340798556005,2018-11-17T18:00:00Z,FALSE
Steelhead,Alt1,fry,instream,1000,0.09833990987870905,2018-11-17T18:00:00Z,FALSE
Steelhead,Alt1,fry,floodplain,1000,14.567721786815223,2018-11-17T18:00:00Z,FALSE
Steelhead,Alt1,juv,instream,1000,26.593606655391742,2018-11-17T18:00:00Z,FALSE
Steelhead,Alt1,juv,floodplain,1000,59.3124111684698,2018-11-17T18:00:00Z,FALSE
Steelhead,Alt1,spawn,instream,3000,2.8624027035054485,2018-11-18T04:00:00Z,FALSE
Steelhead,Alt1,fry,instream,3000,0.0015498737728178009,2018-11-18T04:00:00Z,FALSE
Steelhead,Alt1,fry,floodplain,3000,20.498514319353163,2018-11-18T04:00:00Z,FALSE
Steelhead,Alt1,juv,instream,3000,2.873344352461011,2018-11-18T04:00:00Z,FALSE
Steelhead,Alt1,juv,floodplain,3000,117.86701305226376,2018-11-18T04:00:00Z,FALSE
Steelhead,Alt1,spawn,instream,5000,1.3164264701989268,2018-11-18T14:00:00Z,FALSE
Steelhead,Alt1,fry,instream,5000,2.3489759677197716e-4,2018-11-18T14:00:00Z,FALSE
Steelhead,Alt1,fry,floodplain,5000,25.268614048509125,2018-11-18T14:00:00Z,FALSE
Steelhead,Alt1,juv,instream,5000,0.6263545158010121,2018-11-18T14:00:00Z,FALSE
Steelhead,Alt1,juv,floodplain,5000,145.36122716788068,2018-11-18T14:00:00Z,FALSE
Steelhead,Alt1,spawn,instream,6000,0.9992727997413576,2018-11-19T00:00:00Z,FALSE
Steelhead,Alt1,fry,instream,6000,1.432524786130634e-4,2018-11-19T00:00:00Z,FALSE
Steelhead,Alt1,fry,floodplain,6000,28.94977517625547,2018-11-19T00:00:00Z,FALSE
Steelhead,Alt1,juv,instream,6000,0.34363646182380586,2018-11-19T00:00:00Z,FALSE
Steelhead,Alt1,juv,floodplain,6000,158.55303283534747,2018-11-19T00:00:00Z,FALSE
Steelhead,Alt1,spawn,instream,7000,0.8357658337205062,2018-11-19T10:00:00Z,FALSE
Steelhead,Alt1,fry,instream,7000,9.656277821528361e-5,2018-11-19T10:00:00Z,FALSE
Steelhead,Alt1,fry,floodplain,7000,31.384604773046018,2018-11-19T10:00:00Z,FALSE
Steelhead,Alt1,juv,instream,7000,0.2260003800017047,2018-11-19T10:00:00Z,FALSE
Steelhead,Alt1,juv,floodplain,7000,171.81272434303412,2018-11-19T10:00:00Z,FALSE
Steelhead,Alt1,spawn,instream,9000,0.5607922780787864,2018-11-19T20:00:00Z,FALSE
Steelhead,Alt1,fry,instream,9000,5.7234157769650833e-5,2018-11-19T20:00:00Z,FALSE
Steelhead,Alt1,fry,floodplain,9000,28.40931870062928,2018-11-19T20:00:00Z,FALSE
Steelhead,Alt1,juv,instream,9000,0.11616600364726966,2018-11-19T20:00:00Z,FALSE
Steelhead,Alt1,juv,floodplain,9000,192.66726953903273,2018-11-19T20:00:00Z,FALSE
Steelhead,Alt1,spawn,instream,10000,0.47967411293976514,2018-11-20T06:00:00Z,FALSE
Steelhead,Alt1,fry,instream,10000,4.332243811499535e-5,2018-11-20T06:00:00Z,FALSE
Steelhead,Alt1,fry,floodplain,10000,28.235128620970695,2018-11-20T06:00:00Z,FALSE
Steelhead,Alt1,juv,instream,10000,0.08863072050560529,2018-11-20T06:00:00Z,FALSE
Steelhead,Alt1,juv,floodplain,10000,200.52016837375177,2018-11-20T06:00:00Z,FALSE
Steelhead,Alt1,spawn,instream,11000,0.4018528969731317,2018-11-20T16:00:00Z,FALSE
Steelhead,Alt1,fry,instream,11000,3.747446863851429e-5,2018-11-20T16:00:00Z,FALSE
Steelhead,Alt1,fry,floodplain,11000,27.835894096884807,2018-11-20T16:00:00Z,FALSE
Steelhead,Alt1,juv,instream,11000,0.06757259115346696,2018-11-20T16:00:00Z,FALSE
Steelhead,Alt1,juv,floodplain,11000,206.85322017228583,2018-11-20T16:00:00Z,FALSE
Steelhead,Alt1,spawn,instream,12000,0.2605463082281104,2018-11-21T02:00:00Z,FALSE
Steelhead,Alt1,fry,instream,12000,3.219474919839411e-5,2018-11-21T02:00:00Z,FALSE
Steelhead,Alt1,fry,floodplain,12000,27.28847661704829,2018-11-21T02:00:00Z,FALSE
Steelhead,Alt1,juv,instream,12000,0.057616733442934887,2018-11-21T02:00:00Z,FALSE
Steelhead,Alt1,juv,floodplain,12000,211.76349416482134,2018-11-21T02:00:00Z,FALSE
Steelhead,Alt1,spawn,instream,13000,0.1841739204967669,2018-11-21T12:00:00Z,FALSE
Steelhead,Alt1,fry,instream,13000,2.8456715518765402e-5,2018-11-21T12:00:00Z,FALSE
Steelhead,Alt1,fry,floodplain,13000,27.14832640846274,2018-11-21T12:00:00Z,FALSE
Steelhead,Alt1,juv,instream,13000,0.05063969459992451,2018-11-21T12:00:00Z,FALSE
Steelhead,Alt1,juv,floodplain,13000,215.46432624509347,2018-11-21T12:00:00Z,FALSE
Steelhead,Alt1,spawn,instream,14000,0.15967932941441287,2018-11-21T22:00:00Z,FALSE
Steelhead,Alt1,fry,instream,14000,2.1823749315332477e-5,2018-11-21T22:00:00Z,FALSE
Steelhead,Alt1,fry,floodplain,14000,28.638785257078936,2018-11-21T22:00:00Z,FALSE
Steelhead,Alt1,juv,instream,14000,0.04511559867060541,2018-11-21T22:00:00Z,FALSE
Steelhead,Alt1,juv,floodplain,14000,219.8860835760706,2018-11-21T22:00:00Z,FALSE
