 WUA in square feet per 1000 feet,,,,,
flow_cfs,spawn_WUA,fry_WUA,juv_WUA,adult_steelhead_WUA,watershed
75,6841.9583333333,27384.4375,34256.0208333333,11412,Merced River
90,8540.2291666667,26584.0416666667,34708.3541666667,12076,Merced River
105,10066.7083333333,25713.2083333333,34970.2291666667,13261,Merced River
120,10941.0208333333,24912.875,34939.6875,14388,Merced River
135,11830.1458333333,24166.4583333333,34612.4791666667,16085,Merced River
150,12347.9166666667,23424.875,34270.3125,17466,Merced River
165,12655.2708333333,22731.8333333333,33733.5,18544,Merced River
188,13070.3541666667,21997.1875,32875.5416666667,19427,Merced River
225,13069.9791666667,20947.2083333333,31564.6666666667,19985,Merced River
275,13128.6041666667,19598.8125,30056.9166666667,20428,Merced River
325,12546.1041666667,18539.6041666667,28455.2083333333,20291,Merced River
400,10659.6041666667,17530.9166666667,26442.4791666667,18381,Merced River
475,8823.0208333333,16841.8958333333,24763.6666666667,16385,Merced River
550,7669.9791666667,16582.6458333333,23266.3958333333,14834,Merced River
650,6396.9791666667,16596.7291666667,21846.6458333333,13727,Merced River
742,5702.375,16806.2291666667,20886.75,13190,Merced River
900,4631.9583333333,17346.4583333333,19839.9791666667,12542,Merced River
1100,3888.0625,18103.8541666667,19251.2083333333,12378,Merced River
1300,2139.5208333333,19170.75,19840.3541666667,12482,Merced River
1500,1518,21481.875,20809.0416666667,12990,Merced River
1750,1170.7916666667,24726.5625,22605.8125,13647,Merced River
2000,1116.9166666667,28949.8125,25224.9583333333,14428,Merced River
2284,1560.1666666667,34901.5833333333,28362.2291666667,15304,Merced River
2600,2083.2708333333,41098.5208333333,32095.3958333333,16605,Merced River
2950,2958.3541666667,49758.0416666667,37914.2916666667,19217,Merced River
3300,4085.5625,56030.75,44351.75,23125,Merced River
3800,4596.1875,57246.4583333333,50842.6666666667,26864,Merced River
4400,5156.7083333333,55540.9375,56222.1666666667,31005,Merced River
5000,5424.25,53182.125,59014.9375,35282,Merced River
5710,6104.2916666667,50247.9583333333,60169.1041666667,40298,Merced River
