WUA in square feet per 1000 feet,,,,
flow_cfs,spawn_WUA,fry_WUA,juv_WUA,watershed
105,1349.4331582333,75494.1037150212,,Mokelumne River
140,1672.1852219125,80077.6480153846,,Mokelumne River
180,1963.7459128431,83519.9156076923,,Mokelumne River
480,2709.3729899228,87272.7450923077,,Mokelumne River
100,,,28487.75,Mokelumne River
200,,,21043,Mokelumne River
300,,,17526.5,Mokelumne River
400,,,14528.75,Mokelumne River
500,,,11429,Mokelumne River
600,,,8650.5,Mokelumne River
700,,,6444.25,Mokelumne River
800,,,4909.5,Mokelumne River
900,,,3889.75,Mokelumne River
1000,,,3073,Mokelumne River
