flow_cfs,floodplain_acres,reach,miles
2637.4263070914,12.9626290424,Keswick to Battle Creek,55.5
2992.4665902945,13.4692712242,Keswick to Battle Creek,55.5
3479.3926282051,13.9350760242,Keswick to Battle Creek,55.5
3897.3213391426,14.3676075152,Keswick to Battle Creek,55.5
4371.2771371695,21.469100897,Keswick to Battle Creek,55.5
4783.6753430489,22.1759349333,Keswick to Battle Creek,55.5
5436.9238656851,22.9025195151,Keswick to Battle Creek,55.5
5937.2724734575,23.9949731394,Keswick to Battle Creek,55.5
6424.8550305489,24.5639862303,Keswick to Battle Creek,55.5
6911.9940154247,25.0729156364,Keswick to Battle Creek,55.5
7469.2917543069,28.3673516121,Keswick to Battle Creek,55.5
7969.6958070413,28.8816394424,Keswick to Battle Creek,55.5
8482.1333383414,29.3586616485,Keswick to Battle Creek,55.5
8943.1762319712,45.1265627394,Keswick to Battle Creek,55.5
9515.5321013622,58.4085995152,Keswick to Battle Creek,55.5
9895.409380008,59.5162424727,Keswick to Battle Creek,55.5
10390.3218274239,60.6141178424,Keswick to Battle Creek,55.5
10784.8496594551,61.6842092364,Keswick to Battle Creek,55.5
10956.4692007212,61.6843598793,Keswick to Battle Creek,55.5
11230.5103916266,62.7214079762,Keswick to Battle Creek,55.5
11525.4276968149,62.7216423096,Keswick to Battle Creek,55.5
11793.5635266426,63.7630802975,Keswick to Battle Creek,55.5
11978.6265024038,63.7633146309,Keswick to Battle Creek,55.5
12335.3291516426,64.7633514066,Keswick to Battle Creek,55.5
12592.2908904247,64.76358574,Keswick to Battle Creek,55.5
12758.7869841747,65.7114614249,Keswick to Battle Creek,55.5
13077.2654997997,65.7116790201,Keswick to Battle Creek,55.5
13371.3340344551,66.6527130807,Keswick to Battle Creek,55.5
13599.4579702524,66.652930676,Keswick to Battle Creek,55.5
13776.2555714143,67.5210400578,Keswick to Battle Creek,55.5
14083.8252453926,67.5212743912,Keswick to Battle Creek,55.5
14275.7947966747,68.3688828276,Keswick to Battle Creek,55.5
14404.0203826122,68.369117161,Keswick to Battle Creek,55.5
14697.4299754607,69.2169799004,Keswick to Battle Creek,55.5
15018.6035657051,69.2416515671,Keswick to Battle Creek,55.5
15321.7841421274,70.0895410459,Keswick to Battle Creek,55.5
15465.7969250801,70.1630706411,Keswick to Battle Creek,55.5
16015.6914563301,71.042499897,Keswick to Battle Creek,55.5
16320.7637219551,71.8579634364,Keswick to Battle Creek,55.5
16977.4063000801,72.8016655118,Keswick to Battle Creek,55.5
17784.2148938301,74.4409605751,Keswick to Battle Creek,55.5
18007.9229016426,74.508380837,Keswick to Battle Creek,55.5
18329.7910657051,75.2578404976,Keswick to Battle Creek,55.5
18521.5898938301,75.6373625778,Keswick to Battle Creek,55.5
19619.7578625801,86.6066674813,Keswick to Battle Creek,55.5
19802.5293469551,87.5993922813,Keswick to Battle Creek,55.5
20179.3789563301,88.9494979277,Keswick to Battle Creek,55.5
20831.3506360176,90.2519105693,Keswick to Battle Creek,55.5
21611.8848157051,91.938578468,Keswick to Battle Creek,55.5
21786.9375500801,92.9213310499,Keswick to Battle Creek,55.5
21980.7070813301,93.244328249,Keswick to Battle Creek,55.5
24167.5098157051,138.7740720358,Keswick to Battle Creek,55.5
24330.3984875801,140.7054585327,Keswick to Battle Creek,55.5
24701.2266125801,142.9288427003,Keswick to Battle Creek,55.5
25003.9424328926,143.3043887964,Keswick to Battle Creek,55.5
25262.6406750801,145.2235959964,Keswick to Battle Creek,55.5
25759.5918469551,147.3106918623,Keswick to Battle Creek,55.5
27130.4023938301,153.4471097386,Keswick to Battle Creek,55.5
27365.7813000801,157.6797655689,Keswick to Battle Creek,55.5
28064.5840344551,162.0961488715,Keswick to Battle Creek,55.5
