flow,SR_fry,SR_juv,SR_spawn,subreach
4,8079,1419.83,195.1,wildcat
6,8177.46,2308.52,384.85,wildcat
8,8042.42,3058.33,546.39,wildcat
10,7822.9,3688.61,677.72,wildcat
12,7554.2,4465.95,823.98,wildcat
14,7409.18,4904.75,913.65,wildcat
16,7205.9,5328.28,947.56,wildcat
18,6978.34,5704.03,959.18,wildcat
20,6737.42,6050.91,964.54,wildcat
25,6247.88,6741,976.02,wildcat
30,5786.74,7169.76,960.55,wildcat
35,5412.26,7391.93,927.29,wildcat
40,5103.76,7450,866.99,wildcat
45,4859.14,7378.02,822.54,wildcat
50,4729.95,7257.95,768.07,wildcat
60,4618.32,6956.12,661.73,wildcat
70,4537.8,6604.8,568.49,wildcat
80,4425.13,6321.99,462.36,wildcat
90,4310.77,6119.65,396.71,wildcat
100,4072.36,5964.37,387.19,wildcat
120,3802.3,5822.14,345.91,wildcat
140,3676.25,5619.65,309.53,wildcat
160,3681.38,5403.78,265.83,wildcat
180,3663.76,5122.05,243.33,wildcat
200,3581.81,4813.66,211,wildcat
220,3560.43,4597.98,179.53,wildcat
240,3546.7,4449.36,162.9,wildcat
4,7658.85,1393.61,283.47,eagle_creek
6,7754.17,2248.22,516.66,eagle_creek
8,7627.63,2966.69,718.4,eagle_creek
10,7427.05,3573.16,898.42,eagle_creek
12,7127.27,4324.42,1102.09,eagle_creek
14,7000.76,4738.59,1236.61,eagle_creek
16,6815.6,5133.8,1296.27,eagle_creek
18,6608.18,5487.63,1326.72,eagle_creek
20,6390.15,5814.66,1345.71,eagle_creek
25,5960.21,6481.29,1385.15,eagle_creek
30,5551.96,6902.65,1364.94,eagle_creek
35,5217.4,7126.34,1300.58,eagle_creek
40,4948.07,7191.2,1206.92,eagle_creek
45,4738.3,7128.75,1132.39,eagle_creek
50,4643.46,7021.75,1043.44,eagle_creek
60,4590.32,6755.42,892.02,eagle_creek
70,4552.05,6446.09,768.4,eagle_creek
80,4453.22,6214.04,647.39,eagle_creek
90,4321.25,6072.15,568.14,eagle_creek
100,4069.79,6034.51,516.58,eagle_creek
120,3808.05,5860.83,442.23,eagle_creek
140,3676.92,5683.62,392.52,eagle_creek
160,3666.82,5480.5,334.13,eagle_creek
180,3639.93,5202.54,296.66,eagle_creek
200,3557.17,4888.32,243.42,eagle_creek
220,3534.88,4652.52,196.4,eagle_creek
240,3521.08,4478.12,168.59,eagle_creek
3,8706.22,1260.31,78.98,north_battle_feeder
5,9079.03,2324.54,192.9,north_battle_feeder
7,9105.29,3380.95,317.08,north_battle_feeder
9,8983.49,4236.44,402.43,north_battle_feeder
11,8784.38,4971.93,519.5,north_battle_feeder
13,8515.99,5627.14,626.01,north_battle_feeder
15,8298.53,6215.21,688.19,north_battle_feeder
17,8115.16,6706.32,749.41,north_battle_feeder
19,7870.89,7106.39,822.97,north_battle_feeder
21,7662.96,7515.07,896.52,north_battle_feeder
25,7222.55,8171.49,1040.48,north_battle_feeder
30,6739.86,8753.72,1203.99,north_battle_feeder
35,6364.76,9133.47,1284.48,north_battle_feeder
40,6038.67,9368.17,1336.68,north_battle_feeder
45,5761.11,9467.69,1413.76,north_battle_feeder
50,5555.81,9492.14,1486.74,north_battle_feeder
60,5263.57,9264.49,1516.61,north_battle_feeder
70,4989.42,8855.19,1417.46,north_battle_feeder
80,4719.85,8421.97,1267.14,north_battle_feeder
90,4347.43,8094.1,1131.58,north_battle_feeder
100,4155.99,7660.25,992.07,north_battle_feeder
120,3911.33,6933.79,767.8,north_battle_feeder
140,3723.4,6366.88,579.27,north_battle_feeder
160,3582.99,5918.23,423.57,north_battle_feeder
180,3464.61,5577.22,314.91,north_battle_feeder
200,3361.92,5310.72,250.96,north_battle_feeder
