"From source SSWD 2019, reach length in kilometers, FR = Fall Run, ST = steelhead, reach one is USFWS, reach 2 is upstream reach, reach 3 is downstream reach ",,,,,,,,
flow_cfs,FR_spawn_sqft,FR_juv_sqft,FR_fry_sqft,ST_spawn_sqft,ST_fry_sqft,ST_juv_sqft,reach_km ,reach
10,1048.244925,35984.299,40542.63566,1114.87688,28082.15678,33354.27758,1.15,1
15,1461.747919,36411.92905,39457.36434,2358.312935,27182.04701,34575.75903,1.15,1
20,2052.154789,36695.95397,38372.09302,3352.685203,26356.8833,35390.50634,1.15,1
25,2347.576408,36691.17598,37906.97674,4760.769054,25756.65241,36001.88658,1.15,1
30,2760.992128,36684.009,36976.74419,5837.883638,25156.32689,36715.43,1.15,1
35,3056.588295,36246.02664,36201.55039,6665.725224,24705.51497,36921.03538,1.15,1
40,3470.004015,36241.24865,35271.31783,7826.209753,24180.23014,37331.28687,1.15,1
50,4001.850203,35350.15363,34031.00775,9567.145756,23579.14758,37842.10274,1.15,1
75,5007.592816,34462.24393,32170.54264,14043.80845,22901.13176,38159.78384,1.15,1
100,5540.922658,36274.69457,32635.65891,16947.9487,23121.99553,37969.20716,1.15,1
125,5956.2584,33575.13057,32945.73643,19190.35963,23567.88675,37272.93076,1.15,1
150,6253.687316,33119.62891,33410.85271,20771.04124,23863.79121,37284.76186,1.15,1
175,6315.215304,33529.73967,34186.04651,22434.67437,24984.76475,37601.48368,1.15,1
200,6376.656019,33219.4358,35116.27907,23766.08297,25055.7364,37612.99503,1.15,1
250,6381.543349,33322.42801,36046.51163,25023.32685,25722.68065,37942.82699,1.15,1
300,6032.622925,32991.41953,36201.55039,25206.59428,25415.23146,37766.63949,1.15,1
450,5162.241888,32718.80869,35426.35659,25172.17933,24269.18127,37437.28716,1.15,1
700,4478.888482,31346.99484,32480.62016,22111.44585,21683.35289,37360.54487,1.15,1
10,1697.037929,45370.39372,50465.11628,287.4537124,37675.53655,40664.30045,1.3,2
15,2759.683022,46810.42663,49069.76744,1447.729032,36100.62834,43712.24839,1.3,2
20,4058.054494,47672.85372,42403.10078,2441.68288,34600.95007,45746.23883,1.3,2
25,5415.51029,48100.48377,40542.63566,3270.570514,33401.43457,47271.0122,1.3,2
30,6713.969035,48382.91603,38527.13178,4264.942781,31751.67493,48288.48706,1.3,2
35,7894.259133,48520.15051,33720.93023,5342.475784,30401.79416,49204.75802,1.3,2
40,9015.726728,48080.57548,30310.07752,6668.654156,29576.81971,50222.55264,1.3,2
50,10550.61004,46613.46729,27984.49612,8739.722588,27776.22166,51346.02779,1.3,2
75,13444.08371,44859.14885,26899.22481,12720.55901,24624.60729,53083.76101,1.3,2
100,15334.34571,48378.13804,26279.06977,15376.05389,22972.29267,53198.39481,1.3,2
125,16162.74808,43248.43554,25968.99225,18032.38561,22068.77626,52601.08398,1.3,2
150,16696.16519,41492.52444,26744.18605,19777.92422,21465.23335,51396.23004,1.3,2
175,17052.7657,39596.98987,28604.65116,21855.68736,21461.73209,50595.8719,1.3,2
200,16583.05842,38130.67801,28604.65116,22360.09122,22133.40777,49288.53502,1.3,2
250,15407.8302,35775.66013,29379.84496,22542.10339,22950.14951,47689.73732,1.3,2
300,13879.40514,34292.62531,43798.44961,21730.78935,25490.17752,47208.65909,1.3,2
450,10649.05483,33293.22919,45968.99225,18222.87077,24343.74882,47080.43551,1.3,2
700,8372.868339,32791.80575,47209.30233,14912.44587,24306.37042,47309.86298,1.3,2
10,1638.128153,35406.69317,45503.87597,948.5554091,39024.18714,34573.84047,0.95,3
15,2759.595748,37857.53628,45813.95349,2192.409883,37899.14456,38129.40669,0.95,3
20,4057.96722,39153.16774,45348.83721,3517.123789,36924.08872,40670.37588,0.95,3
25,5297.516189,40158.40362,44263.56589,5670.30691,35874.37072,43007.978,0.95,3
30,6773.053359,40734.41679,43178.29457,7409.778447,34899.22026,44127.29627,0.95,3
35,7776.352307,41305.65196,42248.06202,9314.525408,34224.0433,45652.06964,0.95,3
40,8956.729678,42021.2886,41782.94574,11384.12938,33173.94678,47177.16277,0.95,3
50,10786.51097,42015.71428,40232.55814,14697.1694,32273.26924,48808.25619,0.95,3
75,14269.95514,42427.4177,38372.09302,23725.07793,30470.40009,51661.47057,0.95,3
100,16455.37694,41536.32267,36511.62791,29856.37775,29942.27639,53097.83043,0.95,3
125,18050.82823,40071.60348,36046.51163,34001.86196,29563.6663,53919.93221,0.95,3
150,18996.70105,39472.4967,35581.39535,36823.88753,29559.78652,54239.21211,0.95,3
175,19648.72319,38296.58042,35426.35659,38983.55614,29931.77259,54556.57346,0.95,3
200,19827.98345,37262.6766,34806.20155,40729.09475,29844.71403,54670.24797,0.95,3
250,20128.03058,35777.25279,34496.12403,42399.63179,29461.75101,54999.44042,0.95,3
300,19955.66494,34433.84144,34341.08527,43079.35312,28390.64688,54721.72926,0.95,3
450,18436.66544,30694.00296,34341.08527,42383.83648,23257.31481,52461.8287,0.95,3
700,14980.79978,26148.54238,30155.03876,35267.89263,29927.04114,47310.18274,0.95,3
