"Data From FWS 2003 Butte spawning, SR = Spring Run Chinook Salmon, Reach lengths from Mark Gard, 2 reaches, WUA in sqft ",,
flow_cfs,SR_spawn_WUA,length
20,9560,6.5
25,10822,6.5
30,12021,6.5
35,14300,6.5
40,15145,6.5
45,16615,6.5
50,17303,6.5
60,19112,6.5
70,20668,6.5
80,25128,6.5
90,22825,6.5
100,24114,6.5
110,25173,6.5
130,27043,6.5
150,28630,6.5
170,29020,6.5
190,29475,6.5
210,29665,6.5
230,29665,6.5
250,29537,6.5
270,29635,6.5
290,29787,6.5
310,30060,6.5
330,30369,6.5
350,30687,6.5
370,30929,6.5
390,30981,6.5
410,31080,6.5
430,31031,6.5
450,31012,6.5
60,85615,9
70,94242,9
80,102320,9
90,106937,9
100,113147,9
110,118503,9
120,122790,9
130,126237,9
140,128608,9
150,129897,9
170,132008,9
190,132073,9
210,130876,9
230,128488,9
250,125272,9
270,122409,9
290,118288,9
310,113810,9
350,104919,9
390,95885,9
430,85505,9
470,76057,9
510,67360,9
550,58489,9
590,50764,9
630,43507,9
670,36318,9
710,30369,9
750,25756,9
790,21837,9
