flow_cfs,FR_spawning,FR_fry,FR_juv,SR_spawning,ST_spawning,SR_fry,ST_fry,SR_juvenile,ST_juvenile,Reach,Reach_length,length_units,WUA_units
50,NA,NA,NA,"1,698","12,276","111,496","69,405","41,405","41,405",Upper Alluvial Segment,2.27,miles,square feet
75,NA,NA,NA,"3,208","18,951","105,592","68,867","54,279","54,279",Upper Alluvial Segment,2.27,miles,square feet
100,NA,NA,NA,"4,777","25,084","107,039","67,107","65,641","65,641",Upper Alluvial Segment,2.27,miles,square feet
125,NA,NA,NA,"6,185","30,175","112,173","70,706","76,214","76,214",Upper Alluvial Segment,2.27,miles,square feet
150,NA,NA,NA,"7,519","34,579","114,039","72,571","86,324","86,324",Upper Alluvial Segment,2.27,miles,square feet
175,NA,NA,NA,"8,934","38,615","118,857","73,787","96,403","96,403",Upper Alluvial Segment,2.27,miles,square feet
200,NA,NA,NA,"10,095","40,980","121,064","73,936","104,687","104,687",Upper Alluvial Segment,2.27,miles,square feet
225,NA,NA,NA,"11,163","42,634","129,437","81,008","111,553","111,553",Upper Alluvial Segment,2.27,miles,square feet
250,NA,NA,NA,"12,195","43,851","131,840","81,542","119,125","119,125",Upper Alluvial Segment,2.27,miles,square feet
275,NA,NA,NA,"13,155","44,725","136,603","83,088","124,187","124,187",Upper Alluvial Segment,2.27,miles,square feet
300,NA,NA,NA,"14,075","45,390","140,071","87,584","130,221","130,221",Upper Alluvial Segment,2.27,miles,square feet
350,NA,NA,NA,"15,674","45,582","144,634","88,916","141,343","141,343",Upper Alluvial Segment,2.27,miles,square feet
400,NA,NA,NA,"17,066","44,758","146,540","88,073","152,816","152,816",Upper Alluvial Segment,2.27,miles,square feet
450,NA,NA,NA,"18,160","43,845","155,367","94,518","163,383","163,383",Upper Alluvial Segment,2.27,miles,square feet
500,NA,NA,NA,"18,956","42,622","161,976","96,337","174,861","174,861",Upper Alluvial Segment,2.27,miles,square feet
550,NA,NA,NA,"19,467","41,396","173,547","101,880","183,485","183,485",Upper Alluvial Segment,2.27,miles,square feet
600,NA,NA,NA,"20,039","40,133","188,689","108,040","190,954","190,954",Upper Alluvial Segment,2.27,miles,square feet
650,NA,NA,NA,"20,517","39,001","188,431","112,254","197,707","197,707",Upper Alluvial Segment,2.27,miles,square feet
700,NA,NA,NA,"20,797","37,880","181,605","112,639","203,598","203,598",Upper Alluvial Segment,2.27,miles,square feet
750,NA,NA,NA,"20,909","36,925","179,584","111,018","208,808","208,808",Upper Alluvial Segment,2.27,miles,square feet
800,NA,NA,NA,"21,118","36,032","169,701","107,855","214,871","214,871",Upper Alluvial Segment,2.27,miles,square feet
850,NA,NA,NA,"21,158","35,177","164,082","104,947","218,808","218,808",Upper Alluvial Segment,2.27,miles,square feet
900,NA,NA,NA,"21,432","34,486","157,886","102,170","222,601","222,601",Upper Alluvial Segment,2.27,miles,square feet
50,NA,NA,NA,39,651,"66,475","44,378","54,914","54,914",Canyon Segment,7.33,miles,square feet
75,NA,NA,NA,111,"1,469","68,700","45,607","67,067","67,067",Canyon Segment,7.33,miles,square feet
100,NA,NA,NA,209,"2,432","67,915","45,096","78,942","78,942",Canyon Segment,7.33,miles,square feet
125,NA,NA,NA,319,"3,394","66,400","43,888","89,087","89,087",Canyon Segment,7.33,miles,square feet
150,NA,NA,NA,429,"4,047","66,973","43,499","97,980","97,980",Canyon Segment,7.33,miles,square feet
175,NA,NA,NA,552,"4,501","65,761","43,120","106,763","106,763",Canyon Segment,7.33,miles,square feet
200,NA,NA,NA,644,"4,636","65,873","42,101","113,358","113,358",Canyon Segment,7.33,miles,square feet
