"Watershed areas and active channel width, watershed area in sqkm ",,
watershed,channel_area_sqm,watershed_area_sqkm
American_River,2712208,5581
Antelope Creek,803591,508
Battle Creek,212251,957
Bear Creek,119882,649
Bear River,598300,1228
Big Chico Creek,359656,930
Butte Creek,418629,2123
Calaveras River,303456,1369
Clear Creek,232299,645
Cosumnes River,1813435,2124
Cottonwood Creek,1016356,2444
Cow Creek,880088,1107
Deer Creek,285614,575
Elder Creek,98433,358
Feather River,9563536,11338
Lower Sacramento River,2532238,
Lower-mid Sacramento River,9505349,
Merced River,1648290,3288
Mill Creek,485254,334
Mokelumne River,976108,3070
Paynes Creek,119613,243
San Joaquin River,2161877,
Stanislaus River,1655516,3100
Stony Creek,823541,2021
Thomes Creek,778213,758
Tuolumne River,2372096,4851
Upper Sacramento River,10217664,
Upper-mid Sacramento River,23061332,
Yuba River,1805663,3483
