location,flow,total_acres,estimate
Camanche to WIDD,800,93.2005214918138,low
Camanche to WIDD,900,110.544803747037,low
Camanche to WIDD,1100,140.094807812151,low
Camanche to WIDD,1300,164.694557514127,low
Camanche to WIDD,1500,185.767043965447,low
Camanche to WIDD,1700,204.19809277691,low
Camanche to tidal,800,135.499219707329,low
Camanche to tidal,900,160.715137755308,low
Camanche to tidal,1100,203.676297511512,low
Camanche to tidal,1300,239.440549001308,low
Camanche to tidal,1500,270.076702380534,low
Camanche to tidal,1700,296.872611806431,low
Camanche to WIDD,800,210.171,high
Camanche to WIDD,900,239.733,high
Camanche to WIDD,1100,297.453,high
Camanche to WIDD,1300,353.301,high
Camanche to WIDD,1500,407.277,high
Camanche to WIDD,1700,459.381,high
Camanche to tidal,800,305.5563,high
Camanche to tidal,900,348.5349,high
Camanche to tidal,1100,432.4509,high
Camanche to tidal,1300,513.6453,high
Camanche to tidal,1500,592.1181,high
Camanche to tidal,1700,667.8693,high
