WUA in square feet,,,
flow_cfs,juv_WUA,reach,miles
2961.3333307863,9984929.3791566,Battle Creek to Feather River,189.1
3109.1457851264,9710818.82706863,Battle Creek to Feather River,189.1
3384.0493264701,8772051.70042204,Battle Creek to Feather River,189.1
3596.0654855976,8765802.16884565,Battle Creek to Feather River,189.1
3898.5284802153,8426326.03833949,Battle Creek to Feather River,189.1
4144.8385168178,8117974.98430501,Battle Creek to Feather River,189.1
4388.3726048127,7473644.5498236,Battle Creek to Feather River,189.1
4619.2361261033,7095035.02040178,Battle Creek to Feather River,189.1
4853.9092016788,7909293.34836994,Battle Creek to Feather River,189.1
5129.7236171577,7670987.57307866,Battle Creek to Feather River,189.1
5365.0947489265,7580228.96398433,Battle Creek to Feather River,189.1
5627.466280266,7559033.57790532,Battle Creek to Feather River,189.1
5867.2658102487,6898203.44028579,Battle Creek to Feather River,189.1
6125.0252579318,6285165.44383368,Battle Creek to Feather River,189.1
6368.836357571,5998890.4912331,Battle Creek to Feather River,189.1
6638.0538186576,5583672.94868322,Battle Creek to Feather River,189.1
6885.3533516221,4984990.7176507,Battle Creek to Feather River,189.1
7136.8051101801,4716360.26896327,Battle Creek to Feather River,189.1
7345.2401732467,4849396.75013447,Battle Creek to Feather River,189.1
7617.1224624284,4565973.93948652,Battle Creek to Feather River,189.1
7868.3612625239,4426613.93079374,Battle Creek to Feather River,189.1
8355.1932755099,4030377.91230032,Battle Creek to Feather River,189.1
9465.2951335878,3989854.96342841,Battle Creek to Feather River,189.1
10590.1712674439,3882834.71410287,Battle Creek to Feather River,189.1
11438.964016281,3574907.44963718,Battle Creek to Feather River,189.1
12449.6093362357,3297042.01411639,Battle Creek to Feather River,189.1
13509.6466781966,2885445.61622544,Battle Creek to Feather River,189.1
14579.253263657,3061586.64575286,Battle Creek to Feather River,189.1
15832.2543550215,2917175.50436108,Battle Creek to Feather River,189.1
18062.5397900763,2998858.96718102,Battle Creek to Feather River,189.1
19637.510615458,2647009.9681027,Battle Creek to Feather River,189.1
21790.3271886927,2494554.90996112,Battle Creek to Feather River,189.1
23962.7289211593,2485642.28698289,Battle Creek to Feather River,189.1
25839.2648646231,2557695.77697011,Battle Creek to Feather River,189.1
27965.8071281608,2595187.48585869,Battle Creek to Feather River,189.1
29916.2162631202,2969862.96646449,Battle Creek to Feather River,189.1
32105.9194462667,2808189.11739442,Battle Creek to Feather River,189.1
34358.8899272424,2507656.06755457,Battle Creek to Feather River,189.1
36885.5407919847,1944625.11623451,Battle Creek to Feather River,189.1
42619.8379890267,2413614.98240211,Battle Creek to Feather River,189.1
46698.1601443225,2202052.32600086,Battle Creek to Feather River,189.1
52773.6412720658,2149875.85365612,Battle Creek to Feather River,189.1
57500.6250536737,1482502.49737941,Battle Creek to Feather River,189.1
65749.3689945134,1677661.05597552,Battle Creek to Feather River,189.1
75268.4200500954,1768747.11081415,Battle Creek to Feather River,189.1
4355.3611415207,2877580.82468487,Feather River to Freeport,33.4
4724.3955653488,2597175.19930158,Feather River to Freeport,33.4
4830.5083054464,2521922.8632531,Feather River to Freeport,33.4
5318.4379416302,2395555.91115546,Feather River to Freeport,33.4
5744.988931255,2392392.37797187,Feather River to Freeport,33.4
6267.7718964595,2180322.33239685,Feather River to Freeport,33.4
6747.7463674363,2137694.88895778,Feather River to Freeport,33.4
7202.8082174313,2086314.74905916,Feather River to Freeport,33.4
7781.5724584494,1966349.52539588,Feather River to Freeport,33.4
8272.3450157992,1876123.76356909,Feather River to Freeport,33.4
8740.5693608181,1696916.17002234,Feather River to Freeport,33.4
9226.8102607484,1630235.15435806,Feather River to Freeport,33.4
9695.9705693919,1563610.80928629,Feather River to Freeport,33.4
10459.2895290108,1447857.74581236,Feather River to Freeport,33.4
11545.8546850119,1174422.28622593,Feather River to Freeport,33.4
12457.2614979349,998082.886664144,Feather River to Freeport,33.4
13571.0705146547,866403.25869925,Feather River to Freeport,33.4
14533.1537681628,836713.407584218,Feather River to Freeport,33.4
16247.1310646397,738052.718876542,Feather River to Freeport,33.4
17660.322352707,650790.58694873,Feather River to Freeport,33.4
19908.4790754379,621989.879771552,Feather River to Freeport,33.4
21782.8739176951,456060.997206619,Feather River to Freeport,33.4
23986.2246653563,380736.091049427,Feather River to Freeport,33.4
25668.6144008758,416708.75208081,Feather River to Freeport,33.4
27883.1111415207,415421.528079977,Feather River to Freeport,33.4
30040.2631120621,400733.847497263,Feather River to Freeport,33.4
33796.785504578,352622.453939464,Feather River to Freeport,33.4
37916.554513336,297594.581750754,Feather River to Freeport,33.4
43186.7536574443,217423.690159167,Feather River to Freeport,33.4
47255.8417471139,219476.982115227,Feather River to Freeport,33.4
52276.7481090764,199821.625719688,Feather River to Freeport,33.4
58361.7473253384,160427.274799825,Feather River to Freeport,33.4
64912.3282245223,129550.592157107,Feather River to Freeport,33.4
73253.3046377389,49399.8731099279,Feather River to Freeport,33.4
